date,rainfall,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5,rain_lag_6,rain_lag_7,FloodProbability_Proxy,city
2024-11-10 18:30:00,0.0,0.0,0.0,0.0,0.2,1.3,0.6,0.0,0.005450787941989388,Kolkata
2024-11-11 18:30:00,0.0,0.0,0.0,0.0,0.0,0.2,1.3,0.6,0.005450787941989388,Kolkata
2024-11-12 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,0.005450787941989388,Kolkata
2024-11-13 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.005450787941989388,Kolkata
2024-11-14 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-15 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-16 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-17 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-18 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-19 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-20 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-21 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-22 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-23 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-24 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-25 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-26 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-27 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
2024-11-28 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005450787941989388,Kolkata
